,year,month,unc_h,unc_flu,unc_ta,eps
274,2017.0,1.0,17.55859375,3.6962890625,0.5205078125,0.962
275,2017.0,1.0,17.55859375,-0.6103515625,-0.4365234375,0.964
276,2017.0,1.0,17.55859375,3.6962890625,-0.4365234375,0.974
277,2017.0,1.0,-8.02734375,-0.6103515625,-0.4365234375,0.974
278,2017.0,1.0,-8.02734375,3.6962890625,0.5205078125,0.97
279,2017.0,1.0,-8.02734375,3.6962890625,-0.4365234375,0.982
280,2017.0,1.0,-2.44140625,4.3896484375,-0.4794921875,0.982
281,2017.0,1.0,11.97265625,4.3896484375,-0.4794921875,0.978
282,2017.0,1.0,-2.44140625,-1.3037109375,-0.4794921875,0.97
283,2017.0,1.0,-2.44140625,4.3896484375,0.5634765625,0.97
284,2017.0,1.0,-2.44140625,-1.3037109375,0.5634765625,0.958
285,2017.0,1.0,11.97265625,4.3896484375,0.5634765625,0.964
286,2017.0,1.0,11.97265625,-1.3037109375,-0.4794921875,0.966
287,2017.0,1.0,11.97265625,-1.3037109375,0.5634765625,0.952
288,2017.0,1.0,-7.44140625,-1.8603515625,-0.7294921875,0.974
289,2017.0,1.0,16.97265625,-1.8603515625,-0.7294921875,0.966
290,2017.0,1.0,-7.44140625,-0.0537109375,-0.7294921875,0.978
291,2017.0,1.0,-7.44140625,-1.8603515625,0.3134765625,0.962
292,2017.0,1.0,-7.44140625,-0.0537109375,0.3134765625,0.964
293,2017.0,1.0,16.97265625,-1.8603515625,0.3134765625,0.952
294,2017.0,1.0,16.97265625,-0.0537109375,-0.7294921875,0.97
295,2017.0,1.0,16.97265625,-0.0537109375,0.3134765625,0.956
296,2017.0,1.0,12.55859375,3.1396484375,0.2705078125,0.966
297,2017.0,1.0,-3.02734375,3.1396484375,0.2705078125,0.97
298,2017.0,1.0,12.55859375,4.9462890625,0.2705078125,0.968
299,2017.0,1.0,12.55859375,3.1396484375,-0.6865234375,0.978
300,2017.0,1.0,12.55859375,4.9462890625,-0.6865234375,0.982
301,2017.0,1.0,-3.02734375,3.1396484375,-0.6865234375,0.984
302,2017.0,1.0,-3.02734375,4.9462890625,0.2705078125,0.974
303,2017.0,1.0,-3.02734375,4.9462890625,-0.6865234375,0.988
304,2017.0,1.0,2.55859375,-4.3603515625,-0.2294921875,0.958
305,2017.0,1.0,6.97265625,-4.3603515625,-0.2294921875,0.958
306,2017.0,1.0,2.55859375,2.4462890625,-0.2294921875,0.974
307,2017.0,1.0,2.55859375,-4.3603515625,-0.1865234375,0.958
308,2017.0,1.0,2.55859375,2.4462890625,-0.1865234375,0.974
309,2017.0,1.0,6.97265625,-4.3603515625,-0.1865234375,0.956
310,2017.0,1.0,6.97265625,2.4462890625,-0.2294921875,0.972
311,2017.0,1.0,6.97265625,2.4462890625,-0.1865234375,0.972
